ID,Script7,Threshold,Lower Limit,Upper Limit,Train Success,Test Success,Total Success
03-09-2014_22-24-56,Script6,0.75,5,2100,98.722,98.7805,98.7342
03-09-2014_22-05-43,Script6,0.65,5,100,98.6159,98.9011,98.6842
03-09-2014_22-25-07,Script6,0.75,5,2500,98.9831,97,98.481
03-09-2014_21-07-38,Script6,0.35,145,3300,99.0683,95.8333,98.3254
03-09-2014_22-24-45,Script6,0.75,5,1700,97.9021,98.1651,97.9747
03-09-2014_21-06-54,Script6,0.35,145,1700,98.4756,95.5556,97.8469
03-09-2014_21-07-26,Script6,0.35,145,2900,98.7055,95.4128,97.8469
03-09-2014_22-24-11,Script6,0.75,5,500,98.6348,95.098,97.7215
03-09-2014_22-24-33,Script6,0.75,5,1300,98.3333,95.7895,97.7215
03-09-2014_22-25-19,Script6,0.75,5,2900,99.6552,92.381,97.7215
03-09-2014_22-25-41,Script6,0.75,5,3700,97.5945,98.0769,97.7215
03-09-2014_22-24-22,Script6,0.75,5,900,97.9452,96.1165,97.4684
03-09-2014_22-25-30,Script6,0.75,5,3300,98.0519,95.4023,97.4684
03-09-2014_22-06-05,Script6,0.65,5,900,97.7612,96.4286,97.4432
03-09-2014_21-06-31,Script6,0.35,145,900,98.3444,95.122,97.4118
03-09-2014_21-06-43,Script6,0.35,145,1300,98.0707,95.3271,97.3684
03-09-2014_21-09-04,Script6,0.35,165,2500,97.6898,96.2264,97.3105
03-09-2014_21-06-19,Script6,0.35,145,500,97.205,97.4138,97.2603
03-09-2014_22-24-00,Script6,0.75,5,100,99.0132,91.4894,97.2362
03-09-2014_22-06-28,Script6,0.65,5,1700,97.7358,95.4023,97.1591
03-09-2014_22-06-39,Script6,0.65,5,2100,97.037,97.561,97.1591
03-09-2014_22-07-01,Script6,0.65,5,2900,97.3282,96.6667,97.1591
03-09-2014_22-07-12,Script6,0.65,5,3300,97.8102,94.8718,97.1591
03-09-2014_22-05-54,Script6,0.65,5,500,98.1949,92,96.875
03-09-2014_22-06-17,Script6,0.65,5,1300,97.491,94.5205,96.875
03-09-2014_22-06-50,Script6,0.65,5,2500,97.0037,95.2941,96.5909
03-09-2014_17-28-54,Script6,0.05,85,500,97.4286,92.9204,96.3283
03-09-2014_17-47-20,Script6,0.05,145,500,96.6565,94.3925,96.1009
03-09-2014_18-42-50,Script6,0.15,85,100,96.988,92.9293,96.0557
03-09-2014_17-35-08,Script6,0.05,105,500,96.9789,93.6,96.0526
03-09-2014_17-59-19,Script6,0.05,185,500,96.9136,93.2692,96.028
03-09-2014_17-29-42,Script6,0.05,85,1300,96.2428,95.3271,96.0265
03-09-2014_17-59-31,Script6,0.05,185,900,96.1905,94.8718,95.8333
03-09-2014_21-08-11,Script6,0.35,165,500,97.1429,92.1739,95.814
03-09-2014_17-41-21,Script6,0.05,125,500,96.3746,93.8596,95.7303
03-09-2014_17-47-32,Script6,0.05,145,900,96.4179,93.2692,95.672
03-09-2014_17-53-44,Script6,0.05,165,900,96.5079,93.3333,95.6322
03-09-2014_17-59-54,Script6,0.05,185,1300,96.8153,91.6667,95.4976
03-09-2014_21-09-15,Script6,0.35,165,2900,97.2222,90.9091,95.3545
03-09-2014_17-29-18,Script6,0.05,85,900,95.614,94.2149,95.2484
03-09-2014_22-07-23,Script6,0.65,5,3700,95.7364,93.617,95.1705
03-09-2014_17-35-44,Script6,0.05,105,1300,96.4392,90.9091,95.0783
03-09-2014_20-23-24,Script6,0.25,185,1700,96.1326,92,95.0719
03-09-2014_17-35-20,Script6,0.05,105,900,95.9302,92.0354,94.9672
03-09-2014_21-05-21,Script6,0.35,125,3300,95.5357,93.2203,94.9339
03-09-2014_17-53-20,Script6,0.05,165,500,95.9119,92.0354,94.8956
03-09-2014_17-47-44,Script6,0.05,145,1300,95.4955,92.7083,94.8718
03-09-2014_20-58-56,Script6,0.35,105,500,95.1351,93.4959,94.7262
03-09-2014_21-05-44,Script6,0.35,125,3700,95.3216,92.8571,94.7137
03-09-2014_21-03-01,Script6,0.35,125,900,96.5517,88.4956,94.577
03-09-2014_21-46-58,Script6,0.55,5,1300,94.6619,94.2529,94.5652
03-09-2014_17-54-19,Script6,0.05,165,1700,95.5224,91.3462,94.533
03-09-2014_21-00-53,Script6,0.35,105,2500,95.3168,91.8919,94.5148
03-09-2014_17-41-56,Script6,0.05,125,1300,97.2136,86.8421,94.508
03-09-2014_20-24-12,Script6,0.25,185,2500,95.4178,91.6667,94.501
03-09-2014_17-41-33,Script6,0.05,125,900,95.7958,90.3509,94.4072
03-09-2014_20-23-01,Script6,0.25,185,1300,96.1433,89.0756,94.3983
03-09-2014_17-53-56,Script6,0.05,165,1300,94.9367,92.6606,94.3529
03-09-2014_21-01-17,Script6,0.35,105,2900,96.6667,86.8421,94.3038
03-09-2014_21-03-48,Script6,0.35,125,1700,93.9577,95.122,94.2731
03-09-2014_21-04-34,Script6,0.35,125,2500,94.9102,92.5,94.2731
03-09-2014_21-04-58,Script6,0.35,125,2900,94.4954,93.7008,94.2731
03-09-2014_21-25-19,Script6,0.45,45,100,95.9893,88.3333,94.1296
03-09-2014_20-24-59,Script6,0.25,185,3300,94.4134,93.2331,94.0937
03-09-2014_19-52-55,Script6,0.25,85,100,95.2522,90.099,94.0639
03-09-2014_21-47-42,Script6,0.55,5,2100,94.3709,92.4242,94.0217
03-09-2014_20-49-06,Script6,0.35,65,100,94.9008,91.2281,94.0043
03-09-2014_20-22-37,Script6,0.25,185,900,95.1613,90.3226,93.9516
03-09-2014_21-02-38,Script6,0.35,125,500,94.5205,91.7431,93.8819
03-09-2014_20-22-13,Script6,0.25,185,500,94.5504,91.7355,93.8525
03-09-2014_17-21-56,Script6,0.05,65,500,95.3678,89.1667,93.8398
03-09-2014_21-04-11,Script6,0.35,125,2100,95.3216,89.2857,93.8326
03-09-2014_21-45-52,Script6,0.55,5,100,96.5753,86.7257,93.8272
03-09-2014_20-56-13,Script6,0.35,85,1700,94.832,89.9083,93.75
03-09-2014_20-24-35,Script6,0.25,185,2900,94.1489,92.1739,93.6864
03-09-2014_21-00-30,Script6,0.35,105,2100,94.7514,90.1786,93.6709
03-09-2014_21-03-25,Script6,0.35,125,1300,95.1567,88.3495,93.6123
03-09-2014_20-59-20,Script6,0.35,105,900,95.2646,88.5246,93.5551
03-09-2014_21-48-05,Script6,0.55,5,2500,94.1176,91.6667,93.4783
03-09-2014_21-48-27,Script6,0.55,5,2900,94.306,90.8046,93.4783
03-09-2014_21-48-49,Script6,0.55,5,3300,94.5255,90.4255,93.4783
03-09-2014_17-22-20,Script6,0.05,65,900,93.8172,92.1053,93.4156
03-09-2014_20-21-13,Script6,0.25,165,3300,93.9791,91.4729,93.3464
03-09-2014_17-22-44,Script6,0.05,65,1300,95.5432,86.3248,93.2773
03-09-2014_20-59-43,Script6,0.35,105,1300,94.0054,90.6542,93.2489
03-09-2014_21-01-40,Script6,0.35,105,3300,94.1019,90.099,93.2489
03-09-2014_20-21-38,Script6,0.25,165,3700,94.1333,90.4412,93.1507
03-09-2014_20-23-48,Script6,0.25,185,2100,93.3511,92.1739,93.0754
03-09-2014_20-55-26,Script6,0.35,85,900,94.7945,88.4058,93.0417
03-09-2014_21-02-03,Script6,0.35,105,3700,94.6479,88.2353,93.038
03-09-2014_17-48-08,Script6,0.05,145,1700,94.9843,87.8049,92.9864
03-09-2014_20-25-23,Script6,0.25,185,3700,93.9726,89.6825,92.8717
03-09-2014_20-55-02,Script6,0.35,85,500,94.25,87.8261,92.8155
03-09-2014_20-58-21,Script6,0.35,85,3700,94.8509,86.6142,92.7419
03-09-2014_20-19-36,Script6,0.25,165,1700,94.3005,87.6033,92.7022
03-09-2014_21-49-11,Script6,0.55,5,3700,94.382,88.1188,92.663
03-09-2014_20-18-34,Script6,0.25,165,900,94.4304,86.7769,92.6357
03-09-2014_17-42-20,Script6,0.05,125,1700,94.3114,87.6106,92.6174
03-09-2014_21-00-07,Script6,0.35,105,1700,95.2247,84.7458,92.616
03-09-2014_19-12-15,Script6,0.15,185,500,93.6986,88.4211,92.6087
03-09-2014_21-19-18,Script6,0.45,25,100,94.5409,86.2595,92.5094
03-09-2014_17-36-07,Script6,0.05,105,1700,92.3304,92.9204,92.4779
03-09-2014_17-54-43,Script6,0.05,165,2100,94.7917,86.2385,92.4433
03-09-2014_20-19-12,Script6,0.25,165,1300,92.5134,92.1875,92.4303
03-09-2014_17-14-38,Script6,0.05,45,500,93.6061,88.6179,92.4125
03-09-2014_21-46-36,Script6,0.55,5,900,94.7368,86.4078,92.4119
03-09-2014_20-18-09,Script6,0.25,165,500,93.4896,88.7097,92.3228
03-09-2014_21-33-41,Script6,0.45,65,2900,93.2099,89.3805,92.2197
03-09-2014_21-34-27,Script6,0.45,65,3700,93.4328,88.2353,92.2197
03-09-2014_20-57-01,Script6,0.35,85,2500,94.1489,85.8333,92.1371
03-09-2014_20-57-58,Script6,0.35,85,3300,94.1489,85.8333,92.1371
03-09-2014_21-31-03,Script6,0.45,65,500,93.2927,88.9764,92.0879
03-09-2014_21-46-14,Script6,0.55,5,500,93.8628,87,92.0424
03-09-2014_21-32-22,Script6,0.45,65,1700,93.5976,87.156,91.9908
03-09-2014_21-32-45,Script6,0.45,65,2100,94.4099,85.2174,91.9908
03-09-2014_17-14-14,Script6,0.05,45,100,93.3908,88.0952,91.9831
03-09-2014_20-20-25,Script6,0.25,165,2500,94.3548,85.6115,91.9765
03-09-2014_19-07-59,Script6,0.15,165,1300,94.0541,85.2174,91.9588
03-09-2014_20-55-49,Script6,0.35,85,1300,92.5532,90,91.9355
03-09-2014_20-56-37,Script6,0.35,85,2100,93.5135,87.3016,91.9355
03-09-2014_19-13-02,Script6,0.15,185,1300,93.2394,87.7193,91.8977
03-09-2014_21-31-25,Script6,0.45,65,900,93.9759,85.7143,91.8919
